Provider,Services,Pricing Options,Description,Quantity,Compute,Container,Database,Serverless,Link
Microsoft Azure,Azure Service Fabric,,,,TRUE,TRUE,FALSE,FALSE,
Microsoft Azure,Azure Functions,,,,TRUE,TRUE,FALSE,TRUE,
Microsoft Azure,App Service,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Azure Container Instances,,,,TRUE,TRUE,FALSE,FALSE,
Microsoft Azure,Batch,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Azure Lab Services,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Cloud Services,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Azure Dedicated Host,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Azure Stack Hub,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Azure Spot Virtual Machines,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Azure Quantum,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Azure Spring Apps,,,,TRUE,FALSE,FALSE,FALSE,
Microsoft Azure,Azure Cosmos DB,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure SQL Database,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure Databse for MySQL,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure Database for MariaDB,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure Databse for PostgreSQL,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure Synapse Analytics,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure Databse Migration Service,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure Cache for Redis,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure Health Data Services,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure SQL Managed Instance,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure SQL,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,SQL Server Stretch Database,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure HPC Cache,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure Managed Instance for Apache Cassandra,,,,FALSE,FALSE,TRUE,FALSE,
Microsoft Azure,Azure Container Registry,,,,FALSE,TRUE,FALSE,FALSE,
Microsoft Azure,Azure Red Hat OpenShift,,,,FALSE,TRUE,FALSE,FALSE,
Microsoft Azure,Azure Container Apps,,,,FALSE,TRUE,FALSE,TRUE,
Microsoft Azure,Azure Kubernetes Service Edge Essentials,,,,FALSE,TRUE,FALSE,FALSE,
Microsoft Azure,Azure Kubernetes Fleet Manager,,,,FALSE,TRUE,FALSE,FALSE,
Microsoft Azure,Event Grid,,,,FALSE,FALSE,FALSE,TRUE,
Microsoft Azure,Azure Files,,,,FALSE,FALSE,FALSE,TRUE,
Google Cloud Platform,AlloyDB for PostgreSQL,,,,FALSE,FALSE,TRUE,FALSE,
Google Cloud Platform,Cloud Bigtable,,,,FALSE,FALSE,TRUE,FALSE,
Google Cloud Platform,Cloud Spanner,,,,FALSE,FALSE,TRUE,FALSE,
Google Cloud Platform,Cloud SQL,,,,FALSE,FALSE,TRUE,FALSE,
Google Cloud Platform,Firebase Realtime Database,,,,FALSE,FALSE,TRUE,FALSE,
Google Cloud Platform,Memorystore,,,,FALSE,FALSE,TRUE,FALSE,
Google Cloud Platform,Datastream,,,,FALSE,FALSE,TRUE,FALSE,
Google Cloud Platform,Databse Migration Service,,,,FALSE,FALSE,TRUE,FALSE,
Google Cloud Platform,Firestore,,,,FALSE,FALSE,TRUE,FALSE,
Google Cloud Platform,SQL Server on Google Cloud,,,,TRUE,FALSE,TRUE,FALSE,
Google Cloud Platform,App Engine,,,,TRUE,FALSE,FALSE,TRUE,
Google Cloud Platform,Bare Metal Solution ,,,,TRUE,FALSE,TRUE,FALSE,
Google Cloud Platform,Batch,,,,TRUE,FALSE,FALSE,FALSE,
Google Cloud Platform,Cloud GPUs ,,,,TRUE,FALSE,FALSE,FALSE,
Google Cloud Platform,Cloud Run,,,,TRUE,TRUE,FALSE,TRUE,
Google Cloud Platform,Compute Engine,,,,TRUE,FALSE,FALSE,FALSE,
Google Cloud Platform,Migrate to Virtual Machines,,,,TRUE,FALSE,FALSE,FALSE,
Google Cloud Platform,Spot VMs,,,,TRUE,FALSE,FALSE,FALSE,
Google Cloud Platform,Recommender,,,,TRUE,FALSE,FALSE,FALSE,
Google Cloud Platform,Shielded VMs,,,,TRUE,FALSE,FALSE,FALSE,
Google Cloud Platform,Sole-tenant Nodes,,,,TRUE,FALSE,FALSE,FALSE,
Google Cloud Platform,VMware Engine,,,,TRUE,FALSE,FALSE,FALSE,
Google Cloud Platform,Artifact Registry,,,,FALSE,TRUE,FALSE,FALSE,
Google Cloud Platform,Cloud Build,,,,FALSE,TRUE,FALSE,FALSE,
Google Cloud Platform,Cloud Deploy,,,,FALSE,TRUE,FALSE,FALSE,
Google Cloud Platform,Container Security,,,,FALSE,TRUE,FALSE,FALSE,
Google Cloud Platform,Deep Learning Container,,,,FALSE,TRUE,FALSE,FALSE,
Google Cloud Platform,Google Kubernetes Engine (GKE),,,,FALSE,TRUE,FALSE,FALSE,
Google Cloud Platform,Knative,,,,FALSE,TRUE,FALSE,FALSE,
Google Cloud Platform,Kubernetes Apllications on Google Cloud Marketplace,,,,FALSE,TRUE,FALSE,FALSE,
Google Cloud Platform,Cloud Functions,,,,FALSE,FALSE,FALSE,TRUE,
Google Cloud Platform,Workflow,,,,FALSE,FALSE,FALSE,TRUE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
